Symbol,Name,Sector,Industry,MarketCap,SummaryQuote,ADRTSO,?field0,LastSale,
"OFIX","Orthofix Medical Inc.","Health Care","Medical/Dental Instruments",1146759947.36,"https://www.nasdaq.com/symbol/ofix",null,1992,60.64,
"ATLO","Ames National Corporation","Finance","Major Banks",262567746.6,"https://www.nasdaq.com/symbol/atlo",null,null,28.2,
"DGII","Digi International Inc.","Technology","Computer Communications Equipment",325005327.49,"https://www.nasdaq.com/symbol/dgii",null,1989,11.93,
"BNTCW","Benitec Biopharma Limited","Health Care","Major Pharmaceuticals",0,"https://www.nasdaq.com/symbol/bntcw",null,2015,0.175,
"IZEA","IZEA Worldwide Inc.","Consumer Services","Advertising",19316849.6,"https://www.nasdaq.com/symbol/izea",null,null,1.6,
"VSAT","ViaSat Inc.","Technology","Radio And Television Broadcasting And Communications Equipment",3686096718,"https://www.nasdaq.com/symbol/vsat",null,1996,61.9,
"SPKEP","Spark Energy Inc.","Public Utilities","Power Generation",0,"https://www.nasdaq.com/symbol/spkep",null,null,21.75,
"SUNS","Solar Senior Capital Ltd.",null,null,256487355.15,"https://www.nasdaq.com/symbol/suns",null,null,15.99,
"TDACW","Trident Acquisitions Corp.","Finance","Business Services",0,"https://www.nasdaq.com/symbol/tdacw",null,2018,0.26,
"ENTG","Entegris Inc.","Consumer Non-Durables","Plastic Products",3776366484.32,"https://www.nasdaq.com/symbol/entg",null,2000,26.72,
"WSBC","WesBanco Inc.","Finance","Major Banks",2201629760.25,"https://www.nasdaq.com/symbol/wsbc",null,null,40.35,
"ZLAB","Zai Lab Limited","Health Care","Major Pharmaceuticals",190210840.05,"https://www.nasdaq.com/symbol/zlab","11562969",2017,16.45,
"ACER","Acer Therapeutics Inc.","Health Care","Major Pharmaceuticals",203975126.52,"https://www.nasdaq.com/symbol/acer",null,null,20.29,
"AKAO","Achaogen Inc.","Health Care","Major Pharmaceuticals",178125126.62,"https://www.nasdaq.com/symbol/akao",null,2014,3.94,
"DBVT","DBV Technologies S.A.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",487123509.3,"https://www.nasdaq.com/symbol/dbvt","26750330",2014,18.21,
"CWBC","Community West Bancshares","Finance","Major Banks",94716456.3156,"https://www.nasdaq.com/symbol/cwbc",null,null,11.4758,
"RDFN","Redfin Corporation","Finance","Real Estate",1371370936.14,"https://www.nasdaq.com/symbol/rdfn",null,2017,15.46,
"GNRX","VanEck Vectors Generic Drugs ETF",null,null,3423525,"https://www.nasdaq.com/symbol/gnrx",null,null,22.8235,
"SOHO","Sotherly Hotels Inc.","Consumer Services","Real Estate Investment Trusts",96870615.66,"https://www.nasdaq.com/symbol/soho",null,null,6.86,
"UMPQ","Umpqua Holdings Corporation","Finance","Savings Institutions",4206545800,"https://www.nasdaq.com/symbol/umpq",null,null,19.1,
"SNBR","Sleep Number Corporation","Consumer Durables","Home Furnishings",1229656320,"https://www.nasdaq.com/symbol/snbr",null,null,37.02,
"YRCW","YRC Worldwide Inc.","Transportation","Trucking Freight/Courier Services",275475882.63,"https://www.nasdaq.com/symbol/yrcw",null,null,8.09,
"AVGR","Avinger Inc.","Health Care","Medical/Dental Instruments",3777521.004,"https://www.nasdaq.com/symbol/avgr",null,2015,0.327,
"SEDG","SolarEdge Technologies Inc.","Technology","Semiconductors",1729394716.14,"https://www.nasdaq.com/symbol/sedg",null,2015,38.01,
"SELF","Global Self Storage Inc.","Consumer Services","Real Estate Investment Trusts",30772803.7872,"https://www.nasdaq.com/symbol/self",null,null,4.0003,
"BSRR","Sierra Bancorp","Finance","Major Banks",421108377.2,"https://www.nasdaq.com/symbol/bsrr",null,null,27.59,
"RNWK","RealNetworks Inc.","Technology","EDP Services",69958039.14,"https://www.nasdaq.com/symbol/rnwk",null,1997,1.86,
"PSMT","PriceSmart Inc.","Consumer Services","Department/Specialty Retail Stores",2079528299.31,"https://www.nasdaq.com/symbol/psmt",null,null,68.27,
"LE","Lands&#39; End Inc.","Consumer Services","Clothing/Shoe/Accessory Stores",552762896.4,"https://www.nasdaq.com/symbol/le",null,null,17.16,
"CGBD","TCG BDC Inc.",null,null,980450761.17,"https://www.nasdaq.com/symbol/cgbd",null,2017,15.67,
"JTPY","JetPay Corporation","Finance","Business Services",77505336.2,"https://www.nasdaq.com/symbol/jtpy",null,2011,5.02,
"RGNX","REGENXBIO Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",2001843582.24,"https://www.nasdaq.com/symbol/rgnx",null,2015,61.96,
"ENZL","iShares MSCI New Zealand ETF",null,null,148302000,"https://www.nasdaq.com/symbol/enzl",null,null,44.94,
"OTIV","On Track Innovations Ltd","Technology","Semiconductors",36751995.53,"https://www.nasdaq.com/symbol/otiv",null,null,0.89,
"DISCK","Discovery Inc.","Consumer Services","Television Services",14821170667.31,"https://www.nasdaq.com/symbol/disck",null,null,28.37,
"IEI","iShares 3-7 Year Treasury Bond ETF",null,null,7193640000,"https://www.nasdaq.com/symbol/iei",null,null,119.1,
"CCRN","Cross Country Healthcare Inc.","Technology","Professional Services",325200637.44,"https://www.nasdaq.com/symbol/ccrn",null,2001,8.96,
"PFPT","Proofpoint Inc.","Technology","EDP Services",4878952650,"https://www.nasdaq.com/symbol/pfpt",null,2012,89.55,
"PLUG","Plug Power Inc.","Energy","Industrial Machinery/Components",395222936.16,"https://www.nasdaq.com/symbol/plug",null,1999,1.84,
"USAK","USA Truck Inc.","Transportation","Trucking Freight/Courier Services",170748058.1,"https://www.nasdaq.com/symbol/usak",null,1992,20.42,
"JYNT","The Joint Corp.","Miscellaneous","Multi-Sector Companies",101160575.78,"https://www.nasdaq.com/symbol/jynt",null,2014,7.37,
